Date,Close,sma_14,ema_14,rsi_14,macd,close_lag1,close_lag2,close_lag3,close_lag4,close_lag5,close_lag6,close_lag7,target_day_1,target_day_2,target_day_3,target_day_4,target_day_5,target_day_6,target_day_7,avg_next_7_days,trend
2024-07-22,251.50999450683594,249.6142839704241,241.43925593650943,64.68660693681429,-2.406643504097545,239.1999969482422,249.22999572753906,248.5,256.55999755859375,252.63999938964844,248.22999572753906,241.02999877929688,246.3800048828125,215.99000549316406,220.25,219.8000030517578,232.10000610351562,222.6199951171875,232.07000732421875,227.0300031389509,SELL
2024-07-23,246.3800048828125,250.6942847115653,242.0980224626832,60.984685473258885,-2.7132712879973617,251.50999450683594,239.1999969482422,249.22999572753906,248.5,256.55999755859375,252.63999938964844,248.22999572753906,215.99000549316406,220.25,219.8000030517578,232.10000610351562,222.6199951171875,232.07000732421875,216.86000061035156,222.81285967145647,SELL
2024-07-24,215.99000549316406,248.52285657610213,238.61695353341398,44.67415559551123,-4.865216142656745,246.3800048828125,251.50999450683594,239.1999969482422,249.22999572753906,248.5,256.55999755859375,252.63999938964844,220.25,219.8000030517578,232.10000610351562,222.6199951171875,232.07000732421875,216.86000061035156,207.6699981689453,221.62428719656808,BUY
2024-07-25,220.25,246.2892848423549,236.16802639562547,46.82123715802589,-5.83859100884324,215.99000549316406,246.3800048828125,251.50999450683594,239.1999969482422,249.22999572753906,248.5,256.55999755859375,219.8000030517578,232.10000610351562,222.6199951171875,232.07000732421875,216.86000061035156,207.6699981689453,198.8800048828125,218.57143075125558,HOLD
2024-07-26,219.8000030517578,243.9221420288086,233.98562328310982,46.615441830908054,-6.309508441368225,220.25,215.99000549316406,246.3800048828125,251.50999450683594,239.1999969482422,249.22999572753906,248.5,232.10000610351562,222.6199951171875,232.07000732421875,216.86000061035156,207.6699981689453,198.8800048828125,200.63999938964844,215.83428737095423,HOLD
2024-07-29,232.10000610351562,241.76285770961218,233.73420765916396,52.7311654795916,-5.612753159029674,219.8000030517578,220.25,215.99000549316406,246.3800048828125,251.50999450683594,239.1999969482422,249.22999572753906,222.6199951171875,232.07000732421875,216.86000061035156,207.6699981689453,198.8800048828125,200.63999938964844,191.75999450683594,210.07142857142858,SELL
2024-07-30,222.6199951171875,238.85999952043807,232.2523126535671,48.15249586103184,-5.597805317861965,232.10000610351562,219.8000030517578,220.25,215.99000549316406,246.3800048828125,251.50999450683594,239.1999969482422,232.07000732421875,216.86000061035156,207.6699981689453,198.8800048828125,200.63999938964844,191.75999450683594,198.83999633789062,206.67428588867188,SELL
2024-07-31,232.07000732421875,238.22000013078963,232.22800527632063,52.573316594488645,-4.790156375695753,222.6199951171875,232.10000610351562,219.8000030517578,220.25,215.99000549316406,246.3800048828125,251.50999450683594,216.86000061035156,207.6699981689453,198.8800048828125,200.63999938964844,191.75999450683594,198.83999633789062,200.0,202.09285627092635,SELL
2024-08-01,216.86000061035156,235.97928619384766,230.17893798752476,45.8037915589848,-5.090823094622859,232.07000732421875,222.6199951171875,232.10000610351562,219.8000030517578,220.25,215.99000549316406,246.3800048828125,207.6699981689453,198.8800048828125,200.63999938964844,191.75999450683594,198.83999633789062,200.0,197.49000549316406,199.32571411132812,SELL
2024-08-02,207.6699981689453,232.76714324951172,227.17774601171416,42.26282179592607,-5.674613527605399,216.86000061035156,232.07000732421875,222.6199951171875,232.10000610351562,219.8000030517578,220.25,215.99000549316406,198.8800048828125,200.63999938964844,191.75999450683594,198.83999633789062,200.0,197.49000549316406,207.8300018310547,199.34857177734375,SELL
